cod;codPostal;nomCalle
426;01009;BEATO TOMAS DE ZUMARRAGA   (Pares del 32 al final)
427;01009;BOLIVIA
428;01009;CHILE
429;01009;COLOMBIA
430;01009;CONDE DON VELA
431;01009;DIEGO DE BORICA Y RETEGUI
432;01009;DONANTES DE SANGRE, DE LOS,Senda
433;01009;ECUADOR
434;01009;ENRIQUE EGUREN
435;01009;FRANCISCO LEANDRO VIANA
436;01009;GASTEIZ,Avenida (Impares del 71 al final)
437;01009;GAZALBIDE
438;01009;GUERRILLERO SEBASTIAN FERNANDEZ DE LECETA
439;01009;HONDURAS   (Impares del 1 al final)
440;01009;JOSE DE ACHOTEGUI
441;01009;JOSE MIGUEL DE BARANDIARAN
442;01009;JUANA JUGAN
443;01009;MATEO MUGICA
444;01009;MAXIMO GUISSASOLA
445;01009;MEJICO
446;01009;PABLO NERUDA
447;01009;SAN MARTIN,Plaza
448;01009;SAN VIATOR
449;01009;SEBASTIAN HURTADO DE CORCUERA
450;01009;TELESFORO ARANZADI
451;01009;VICENTE GONZALEZ DE ECHAVARRI
452;01010;AITZOL
453;01010;ALFONSO XI
454;01010;ALI
455;01010;ALIBARRA
456;01010;ALONSO SARRIA,Senda
457;01010;AMADIS
458;01010;AMERICA LATINA, DE,Plaza
459;01010;ANGELA FIGUEROA AYMERICH
460;01010;ANTONIO MACHADO
461;01010;ARAMANGUELU
462;01010;AZUCARERA
463;01010;BAIONA
464;01010;BARANDA
465;01010;BARCELONA
466;01010;BEKOLARRA
467;01010;BLAS DE OTERO
468;01010;BLAS LOPEZ
469;01010;BULEVAR EUSKAL HERRIA
470;01010;BURUBIZKARRA
471;01010;CABALLO DE PICA
472;01010;CATALUÑA,Plaza
473;01010;CEFERINO URIEN
474;01010;CORONELA IBAIBARRIAGA
475;01010;DAMASO ALONSO
476;01010;DONOSTIA-SAN SEBASTIAN
477;01010;DUQUE DE WELLINGTON
478;01010;ECHANOVE,Senda
479;01010;ELIZALDE
480;01010;ERNESTINA DE CHAMPOURDIN
481;01010;ERROTAMENDIA
482;01010;ESPOZ Y MINA
483;01010;ESTELLA-LIZARRA
